,tweet_id,text,label
0,1477924941156605952,"I seriously condemn #BulliBaiApp . @ReallySwara is not Muslim by name but she is mujra Qwali cocktail Product. But how can you make deals for her when value is nothing? This is disrespectful &amp; useless 😡

#SulliDeals #bulli #BulliBaiApp https://t.co/vMrZuQ4Iie",HOF
1,1478629984524587008,"Goyal's Son : Harvard
Javdekar's Son : Boston Univ
Rajnath's Son : Leeds Univ
Nirmala's Daughter : NW Univ
RS Prasad's Son : Cornell
Amit Shah’s Son : BCCI

While Vishal Jha, Shweta Singh, Mayank Rawal will be in Jail for years for spreading hate to keep Modi in power. New India!",NOT
2,1478631208372211712,"Goyal's Son : Harvard
Javdekar's Son : Boston Univ
Rajnath's Son : Leeds Univ
Nirmala's Daughter : NW Univ
RS Prasad's Son : Cornell
Amit Shah’s Son : BCCI

While Vishal Jha, Shweta Singh, Mayank Rawal will be in Jail for years for spreading hate to keep Modi in power. New India! @srivatsayb @chetanecostani राहुल गाँधी ऐसे नेता है जो

√ नया साल इटली में मानते है 
√ जन्मदिन 'लन्दन' में मानते है
√ इलाज न्यूयार्क में कराते है
√ 'रुपया' स्विट्ज़रलैंड में जमा रखते है 
√ Haircut  'स्पेन' में कराते है
√ आत्मपरिक्षण Bangkok में करते है 

√ सिर्फ 'नाक' कटवाने भारत आते है #RahulGandhi",HOF
3,1478644346647826433,"Goyal's Son : Harvard
Javdekar's Son : Boston Univ
Rajnath's Son : Leeds Univ
Nirmala's Daughter : NW Univ
RS Prasad's Son : Cornell
Amit Shah’s Son : BCCI

While Vishal Jha, Shweta Singh, Mayank Rawal will be in Jail for years for spreading hate to keep Modi in power. New India! @srivatsayb @chetanecostani राहुल गाँधी ऐसे नेता है जो

√ नया साल इटली में मानते है 
√ जन्मदिन 'लन्दन' में मानते है
√ इलाज न्यूयार्क में कराते है
√ 'रुपया' स्विट्ज़रलैंड में जमा रखते है 
√ Haircut  'स्पेन' में कराते है
√ आत्मपरिक्षण Bangkok में करते है 

√ सिर्फ 'नाक' कटवाने भारत आते है #RahulGandhi @Chandankrishn13 @srivatsayb @chetanecostani 🤣🤣🤣🤣",HOF
4,1478637156482490371,"Goyal's Son : Harvard
Javdekar's Son : Boston Univ
Rajnath's Son : Leeds Univ
Nirmala's Daughter : NW Univ
RS Prasad's Son : Cornell
Amit Shah’s Son : BCCI

While Vishal Jha, Shweta Singh, Mayank Rawal will be in Jail for years for spreading hate to keep Modi in power. New India! @srivatsayb Rahul Ghandy : WhatsApp university",HOF
5,1478673745661153286,"Goyal's Son : Harvard
Javdekar's Son : Boston Univ
Rajnath's Son : Leeds Univ
Nirmala's Daughter : NW Univ
RS Prasad's Son : Cornell
Amit Shah’s Son : BCCI

While Vishal Jha, Shweta Singh, Mayank Rawal will be in Jail for years for spreading hate to keep Modi in power. New India! @srivatsayb Rahul Ghandy : WhatsApp university @SunilTarar6 @srivatsayb Like you're knowledge 🤣",HOF
6,1478638078755422209,"Goyal's Son : Harvard
Javdekar's Son : Boston Univ
Rajnath's Son : Leeds Univ
Nirmala's Daughter : NW Univ
RS Prasad's Son : Cornell
Amit Shah’s Son : BCCI

While Vishal Jha, Shweta Singh, Mayank Rawal will be in Jail for years for spreading hate to keep Modi in power. New India! @srivatsayb These youths are getting influenced by BJP youth leaders like Tejasvi who constantly tries to spread hatred and animosity among religions. https://t.co/KXnlrc3qG4",HOF
7,1478645653085442049,"Goyal's Son : Harvard
Javdekar's Son : Boston Univ
Rajnath's Son : Leeds Univ
Nirmala's Daughter : NW Univ
RS Prasad's Son : Cornell
Amit Shah’s Son : BCCI

While Vishal Jha, Shweta Singh, Mayank Rawal will be in Jail for years for spreading hate to keep Modi in power. New India! @srivatsayb These youths are getting influenced by BJP youth leaders like Tejasvi who constantly tries to spread hatred and animosity among religions. https://t.co/KXnlrc3qG4 @Martin_d1982 @srivatsayb He was right.",NOT
8,1478645889052786688,"Goyal's Son : Harvard
Javdekar's Son : Boston Univ
Rajnath's Son : Leeds Univ
Nirmala's Daughter : NW Univ
RS Prasad's Son : Cornell
Amit Shah’s Son : BCCI

While Vishal Jha, Shweta Singh, Mayank Rawal will be in Jail for years for spreading hate to keep Modi in power. New India! @srivatsayb These youths are getting influenced by BJP youth leaders like Tejasvi who constantly tries to spread hatred and animosity among religions. https://t.co/KXnlrc3qG4 @Martin_d1982 @srivatsayb Meanwhile Owaisi, nobel Peace Prize award winner, hypocrisy 🥱",HOF
9,1478735211206610944,"Goyal's Son : Harvard
Javdekar's Son : Boston Univ
Rajnath's Son : Leeds Univ
Nirmala's Daughter : NW Univ
RS Prasad's Son : Cornell
Amit Shah’s Son : BCCI

While Vishal Jha, Shweta Singh, Mayank Rawal will be in Jail for years for spreading hate to keep Modi in power. New India! @srivatsayb These youths are getting influenced by BJP youth leaders like Tejasvi who constantly tries to spread hatred and animosity among religions. https://t.co/KXnlrc3qG4 @Martin_d1982 @srivatsayb What ever mr surya said is fact however unpalatable it may be apart from politically incorrect",NOT
